Match ID:,NA1_5305008114
Game Duration:,512
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,Yes (Team 200)
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,911","2,945",-34
3,"4,489","4,312",+177
4,"6,770","6,573",+197
5,"8,541","8,416",+125
6,"10,183","9,695",+488
7,"12,427","11,797",+630
8,"15,284","12,858","+2,426"
9,"16,566","13,369","+3,197"
""
Objective Timeline
Time,Team,Objective,Details
5:54,Team 100,Water Dragon,
6:34,Neutral,Top Lane Outer Turret,Team 200's building
