Match ID:,NA1_5314975115
Game Duration:,1372
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,940","2,971",-31
3,"4,307","5,146",-839
4,"6,256","6,404",-148
5,"7,501","8,344",-843
6,"9,318","10,063",-745
7,"11,448","11,806",-358
8,"13,951","13,108",+843
9,"15,247","14,442",+805
10,"17,667","16,713",+954
11,"19,437","18,970",+467
12,"22,239","21,601",+638
13,"23,700","24,546",-846
14,"25,752","27,180","-1,428"
15,"27,693","28,625",-932
16,"29,372","31,388","-2,016"
17,"31,117","33,580","-2,463"
18,"32,715","35,488","-2,773"
19,"34,305","40,014","-5,709"
20,"36,057","41,726","-5,669"
21,"38,180","43,694","-5,514"
22,"39,742","45,244","-5,502"
23,"40,822","49,803","-8,981"
""
Objective Timeline
Time,Team,Objective,Details
11:17,Neutral,Mid Lane Outer Turret,Team 100's building
11:23,Neutral,Bot Lane Outer Turret,Team 200's building
12:16,Team 100,Earth Dragon,
15:26,Neutral,Top Lane Outer Turret,Team 100's building
15:58,Neutral,Bot Lane Outer Turret,Team 100's building
16:13,Team 100,Monster,
17:04,Neutral,Mid Lane Outer Turret,Team 200's building
18:42,Neutral,Top Lane Inner Turret,Team 100's building
18:48,Team 200,Chemtech Dragon,
18:48,Neutral,Dragon Soul Given,
20:36,Neutral,Top Lane Base Turret,Team 100's building
22:26,Neutral,Bot Lane Inner Turret,Team 100's building
22:40,Neutral,Mid Lane Inner Turret,Team 100's building
