match_id,game_duration,queue,game_mode,surrendered,team_100_wins,gold_diff_1,gold_diff_2,gold_diff_3,gold_diff_4,gold_diff_5,gold_diff_6,gold_diff_7,gold_diff_8,gold_diff_9,gold_diff_10,gold_diff_11,gold_diff_12,gold_diff_13,gold_diff_14,gold_diff_15,first_blood,first_tower,first_dragon,first_herald,towers_taken,dragons_taken,heralds_taken,barons_taken,inhibitors_taken,objectives_count,gold_lead_early,gold_lead_mid,gold_lead_late,objective_advantage
",NA1_5288540536",1920,",420",",CLASSIC",0,0,0,-17,-415,-1077,-1386,-1441,-1914,-2567,-2465,-2603,-3555,-3156,-4551,-3535,-3562,0,0,-1,0,0,-3,0,0,0,6,-1386,-1217,-959,-9
",NA1_5289269307",1748,",420",",CLASSIC",0,1,0,-57,346,621,-29,-219,-141,-851,-559,-969,-1080,1495,1665,2067,890,0,0,-1,0,0,-3,0,0,0,8,-29,-940,1859,-9
",NA1_5290004842",2149,",420",",CLASSIC",0,1,-21,59,83,-329,-149,-770,-1370,-1987,-1856,-3051,-3651,-3955,-3175,-1730,-3641,0,0,-1,0,0,-1,0,0,0,4,-149,-2902,-590,-3
",NA1_5290705430",1266,",420",",CLASSIC",0,1,0,-29,102,470,549,889,1175,1379,1839,3880,3939,5141,6160,8500,9747,0,0,-1,0,0,-3,0,0,0,7,549,3331,5867,-9
",NA1_5291468121",1204,",420",",CLASSIC",0,1,0,-51,495,1537,2151,2295,2389,2565,3035,2217,3844,3833,3947,3953,4541,0,0,-1,0,0,-3,0,0,0,6,2151,66,2324,-9
",NA1_5291966204",916,",420",",CLASSIC",0,1,5,-64,243,830,849,690,1540,1781,3423,4143,4991,5045,6869,7486,9507,0,0,-1,0,0,-1,0,0,0,4,849,3294,5364,-3
",NA1_5292198084",1865,",420",",CLASSIC",0,0,424,410,395,-234,-70,-625,-678,-1099,-920,-1303,-2506,-1372,-2156,-2799,-760,0,0,-1,0,0,-1,0,0,0,3,-70,-1233,543,-3
",NA1_5292456286",990,",420",",CLASSIC",0,1,0,128,241,129,122,778,837,1652,1424,2363,3250,1965,2732,4422,3646,0,0,-1,0,0,-3,0,0,0,4,122,2241,1283,-9
",NA1_5292476055",969,",420",",CLASSIC",0,0,-12,-62,-109,-864,-889,-2072,-3184,-2745,-3837,-4007,-5090,-5407,-6748,-6712,-5360,0,0,-1,0,0,-3,0,0,0,6,-889,-3118,-1353,-9
",NA1_5294669891",1248,",420",",CLASSIC",0,0,0,-36,33,-112,169,-393,-1470,-1021,-2010,-2501,-3124,-3903,-4564,-5227,-5359,0,0,-1,0,0,-1,0,0,0,3,169,-2670,-2858,-3
